name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
HK635,0.69897,0.5,-0.30103,1.69897,0.544602,0.496003,-0.447403,1.53661
HK636,0.69897,0.5,-0.30103,1.69897,0.698825,0.490239,-0.281652,1.6793
HK637,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK638,0.69897,0.5,-0.30103,1.69897,0.597725,0.49957,-0.401415,1.59687
HK639,0.69897,0.5,-0.30103,1.69897,0.716454,0.499968,-0.283481,1.71639
HK640,0.69897,0.5,-0.30103,1.69897,0.615906,0.497078,-0.37825,1.61006
HK641,0.69897,0.5,-0.30103,1.69897,0.725377,0.49996,-0.274543,1.7253
HK642,0.69897,0.5,-0.30103,1.69897,0.723598,0.499966,-0.276334,1.72353
HK643,0.69897,0.5,-0.30103,1.69897,0.667926,0.499932,-0.331938,1.66779
HK644,0.69897,0.5,-0.30103,1.69897,0.688936,0.499981,-0.311025,1.6889
HK645,0.69897,0.5,-0.30103,1.69897,0.715841,0.49994,-0.284038,1.71572
HK646,0.69897,0.5,-0.30103,1.69897,0.597374,0.499513,-0.401651,1.5964
HK647,0.69897,0.5,-0.30103,1.69897,0.679044,0.499922,-0.3208,1.67889
HK648,0.69897,0.5,-0.30103,1.69897,0.705856,0.499735,-0.293614,1.70533
HK649,0.69897,0.5,-0.30103,1.69897,0.762027,0.499447,-0.236867,1.76092
HK650,0.69897,0.5,-0.30103,1.69897,0.757485,0.49989,-0.242295,1.75726
HK651,0.69897,0.5,-0.30103,1.69897,0.750281,0.499627,-0.248974,1.74954
HK652,0.69897,0.5,-0.30103,1.69897,0.744755,0.499301,-0.253847,1.74336
HK653,0.69897,0.5,-0.30103,1.69897,0.596378,0.497872,-0.399366,1.59212
HK700,0.69897,0.5,-0.30103,1.69897,0.793133,0.494281,-0.195429,1.7817
HK701,0.69897,0.5,-0.30103,1.69897,0.614673,0.498717,-0.382761,1.61211
HK702,0.69897,0.5,-0.30103,1.69897,0.589984,0.498853,-0.407722,1.58769
HK703,0.69897,0.5,-0.30103,1.69897,0.65837,0.493323,-0.328275,1.64502
HK704,0.69897,0.5,-0.30103,1.69897,0.505096,0.498178,-0.49126,1.50145
HK705,0.69897,0.5,-0.30103,1.69897,0.577205,0.498629,-0.420053,1.57446
HK706,0.69897,0.5,-0.30103,1.69897,0.642346,0.499921,-0.357496,1.64219
HK707,0.69897,0.5,-0.30103,1.69897,0.796284,0.494078,-0.191872,1.78444
HK708,0.69897,0.5,-0.30103,1.69897,0.682112,0.499976,-0.317841,1.68206
HK709,0.69897,0.5,-0.30103,1.69897,0.70346,0.494271,-0.285082,1.692
HK710,0.69897,0.5,-0.30103,1.69897,0.481271,0.496937,-0.512604,1.47515
HK711,0.69897,0.5,-0.30103,1.69897,0.510435,0.49945,-0.488466,1.50934
HK712,0.69897,0.5,-0.30103,1.69897,0.475861,0.499414,-0.522967,1.47469
HK713,0.69897,0.5,-0.30103,1.69897,0.610656,0.496564,-0.382471,1.60378
HK714,0.69897,0.5,-0.30103,1.69897,0.531642,0.499641,-0.467639,1.53092
HK715,0.69897,0.5,-0.30103,1.69897,0.77819,0.497651,-0.217113,1.77349
HK716,0.69897,0.5,-0.30103,1.69897,0.714118,0.497403,-0.280688,1.70892
HK717,0.69897,0.5,-0.30103,1.69897,0.754325,0.499758,-0.245191,1.75384
HK718,0.69897,0.5,-0.30103,1.69897,0.609869,0.499504,-0.38914,1.60888
HK719,0.69897,0.5,-0.30103,1.69897,0.638751,0.497979,-0.357208,1.63471
HK720,0.69897,0.5,-0.30103,1.69897,0.691293,0.499985,-0.308676,1.69126
HK721,0.69897,0.5,-0.30103,1.69897,0.718656,0.499805,-0.280954,1.71827
HK722,0.69897,0.5,-0.30103,1.69897,0.709206,0.499592,-0.289979,1.70839
HK723,0.69897,0.5,-0.30103,1.69897,0.735529,0.499907,-0.264286,1.73534
HK724,0.69897,0.5,-0.30103,1.69897,0.581312,0.499528,-0.417745,1.58037
HK725,0.69897,0.5,-0.30103,1.69897,0.651143,0.499928,-0.348713,1.651
HK726,0.69897,0.5,-0.30103,1.69897,0.698524,0.499908,-0.301291,1.69834
HK727,0.69897,0.5,-0.30103,1.69897,0.741588,0.49975,-0.257913,1.74109
HK728,0.69897,0.5,-0.30103,1.69897,0.718644,0.499772,-0.280899,1.71819
HK729,0.69897,0.5,-0.30103,1.69897,0.689015,0.499989,-0.310963,1.68899
HK730,0.69897,0.5,-0.30103,1.69897,0.732913,0.499942,-0.266972,1.7328
HK731,0.69897,0.5,-0.30103,1.69897,0.610069,0.499932,-0.389794,1.60993
HK732,0.69897,0.5,-0.30103,1.69897,0.731757,0.499938,-0.268119,1.73163
HK733,0.69897,0.5,-0.30103,1.69897,0.719095,0.499946,-0.280798,1.71899
HK734,0.69897,0.5,-0.30103,1.69897,0.708346,0.49996,-0.291574,1.70827
HK735,0.69897,0.5,-0.30103,1.69897,0.713431,0.499941,-0.28645,1.71331
HK736,0.69897,0.5,-0.30103,1.69897,0.596015,0.499561,-0.403107,1.59514
HK737,0.69897,0.5,-0.30103,1.69897,0.678149,0.499916,-0.321683,1.67798
HK738,0.69897,0.5,-0.30103,1.69897,0.693427,0.499824,-0.306222,1.69307
HK739,0.69897,0.5,-0.30103,1.69897,0.66203,0.499926,-0.337822,1.66188
HK740,0.69897,0.5,-0.30103,1.69897,0.731767,0.49988,-0.267994,1.73153
HK741,0.69897,0.5,-0.30103,1.69897,0.753619,0.499898,-0.246177,1.75341
HK742,0.69897,0.5,-0.30103,1.69897,0.724305,0.499746,-0.275187,1.7238
HK743,0.69897,0.5,-0.30103,1.69897,0.745823,0.49975,-0.253677,1.74532
HK744,0.69897,0.5,-0.30103,1.69897,0.655258,0.499627,-0.343995,1.65451
HK800,0.69897,0.5,-0.30103,1.69897,0.684403,0.499964,-0.315525,1.68433
HK801,0.69897,0.5,-0.30103,1.69897,0.597558,0.499574,-0.40159,1.59671
HK802,0.69897,0.5,-0.30103,1.69897,0.689193,0.499953,-0.310713,1.6891
HK803,0.69897,0.5,-0.30103,1.69897,0.721255,0.499966,-0.278677,1.72119
HK804,0.69897,0.5,-0.30103,1.69897,0.717646,0.49997,-0.282293,1.71759
HK805,0.69897,0.5,-0.30103,1.69897,0.685442,0.499953,-0.314465,1.68535
HK806,0.69897,0.5,-0.30103,1.69897,0.696313,0.499851,-0.303389,1.69602
HK807,0.69897,0.5,-0.30103,1.69897,0.677835,0.499982,-0.32213,1.6778
HK808,0.69897,0.5,-0.30103,1.69897,0.714412,0.499979,-0.285545,1.71437
HK809,0.69897,0.5,-0.30103,1.69897,0.687684,0.49988,-0.312076,1.68744
HK810,0.69897,0.5,-0.30103,1.69897,0.713982,0.499844,-0.285706,1.71367
HK811,0.69897,0.5,-0.30103,1.69897,0.703044,0.499967,-0.29689,1.70298
HK812,0.69897,0.5,-0.30103,1.69897,0.643344,0.499924,-0.356505,1.64319
HK813,0.69897,0.5,-0.30103,1.69897,0.685006,0.499952,-0.314899,1.68491
HK814,0.69897,0.5,-0.30103,1.69897,0.713615,0.49991,-0.286204,1.71343
HK815,0.69897,0.5,-0.30103,1.69897,0.711181,0.49988,-0.28858,1.71094
HK816,0.69897,0.5,-0.30103,1.69897,0.676809,0.499917,-0.323025,1.67664
HK817,0.69897,0.5,-0.30103,1.69897,0.69565,0.499818,-0.303987,1.69529
HK818,0.69897,0.5,-0.30103,1.69897,0.698335,0.499763,-0.301192,1.69786
HK819,0.69897,0.5,-0.30103,1.69897,0.66144,0.499883,-0.338325,1.66121
HK820,0.69897,0.5,-0.30103,1.69897,0.640539,0.499924,-0.359308,1.64039
HK821,0.69897,0.5,-0.30103,1.69897,0.714419,0.499848,-0.285278,1.71412
HK822,0.69897,0.5,-0.30103,1.69897,0.684424,0.499946,-0.315468,1.68432
HK823,0.69897,0.5,-0.30103,1.69897,0.757101,0.499709,-0.242316,1.75652
HK824,0.69897,0.5,-0.30103,1.69897,0.687864,0.499922,-0.311981,1.68771
HK825,0.69897,0.5,-0.30103,1.69897,0.702388,0.49997,-0.297551,1.70233
HK826,0.69897,0.5,-0.30103,1.69897,0.682013,0.499945,-0.317877,1.6819
HK827,0.69897,0.5,-0.30103,1.69897,0.693999,0.49992,-0.305842,1.69384
HK828,0.69897,0.5,-0.30103,1.69897,0.701088,0.499965,-0.298842,1.70102
HK829,0.69897,0.5,-0.30103,1.69897,0.693111,0.499962,-0.306812,1.69303
HK830,0.69897,0.5,-0.30103,1.69897,0.712025,0.499912,-0.287799,1.71185
HK831,0.69897,0.5,-0.30103,1.69897,0.669751,0.499935,-0.330118,1.66962
HK832,0.69897,0.5,-0.30103,1.69897,0.727885,0.499945,-0.272006,1.72778
HK833,0.69897,0.5,-0.30103,1.69897,0.702941,0.499962,-0.296983,1.70287
HK834,0.69897,0.5,-0.30103,1.69897,0.706035,0.499946,-0.293858,1.70593
HK835,0.69897,0.5,-0.30103,1.69897,0.661346,0.499881,-0.338416,1.66111
HK836,0.69897,0.5,-0.30103,1.69897,0.693393,0.499867,-0.306341,1.69313
HK837,0.69897,0.5,-0.30103,1.69897,0.704854,0.499867,-0.29488,1.70459
HK838,0.69897,0.5,-0.30103,1.69897,0.698989,0.499961,-0.300932,1.69891
HK839,0.69897,0.5,-0.30103,1.69897,0.756438,0.499942,-0.243446,1.75632
HK840,0.69897,0.5,-0.30103,1.69897,0.708966,0.499943,-0.29092,1.70885
HK841,0.69897,0.5,-0.30103,1.69897,0.695041,0.499832,-0.304622,1.6947
HK842,0.69897,0.5,-0.30103,1.69897,0.712454,0.499905,-0.287356,1.71226
HK843,0.69897,0.5,-0.30103,1.69897,0.727624,0.499911,-0.272197,1.72745
HK844,0.69897,0.5,-0.30103,1.69897,0.657359,0.499908,-0.342458,1.65718
