name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
HK502,0.69897,0.75,-0.80103,2.19897,0.301994,0.738216,-1.17444,1.77843
HK503,0.69897,0.75,-0.80103,2.19897,0.616624,0.53374,-0.450857,1.6841
HK504,0.69897,0.75,-0.80103,2.19897,0.920056,0.736257,-0.552459,2.39257
HK505,0.69897,0.75,-0.80103,2.19897,0.442005,0.735444,-1.02888,1.91289
HK506,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK507,0.69897,0.75,-0.80103,2.19897,-0.30103,0.705,-1.71103,1.10897
HK508,0.69897,0.75,-0.80103,2.19897,0.869443,0.692359,-0.515275,2.25416
HK509,0.69897,0.75,-0.80103,2.19897,0.666795,0.733702,-0.800609,2.1342
HK510,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK511,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK512,0.69897,0.75,-0.80103,2.19897,0.653463,0.701984,-0.750504,2.05743
HK513,0.69897,0.75,-0.80103,2.19897,0.624933,0.725414,-0.825895,2.07576
HK514,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK515,0.69897,0.75,-0.80103,2.19897,0.739654,0.719756,-0.699858,2.17917
HK516,0.69897,0.75,-0.80103,2.19897,0.80712,0.718113,-0.629106,2.24335
HK517,0.69897,0.75,-0.80103,2.19897,0.876669,0.710019,-0.543369,2.29671
HK518,0.69897,0.75,-0.80103,2.19897,0.712373,0.723742,-0.73511,2.15986
HK519,0.69897,0.75,-0.80103,2.19897,0.677828,0.708123,-0.738419,2.09407
HK520,0.69897,0.75,-0.80103,2.19897,0.756269,0.710889,-0.665509,2.17805
HK521,0.69897,0.75,-0.80103,2.19897,0.706119,0.713072,-0.720025,2.13226
HK522,0.69897,0.75,-0.80103,2.19897,0.716127,0.705776,-0.695425,2.12768
HK523,0.69897,0.75,-0.80103,2.19897,0.733479,0.703657,-0.673834,2.14079
HK524,0.69897,0.75,-0.80103,2.19897,0.659143,0.748588,-0.838033,2.15632
HK525,0.69897,0.75,-0.80103,2.19897,0.735922,0.748614,-0.761306,2.23315
HK526,0.69897,0.75,-0.80103,2.19897,0.668684,0.731335,-0.793986,2.13135
HK527,0.69897,0.75,-0.80103,2.19897,0.641212,0.729274,-0.817336,2.09976
HK528,0.69897,0.75,-0.80103,2.19897,0.685741,0.740313,-0.794884,2.16637
HK529,0.69897,0.75,-0.80103,2.19897,0.684185,0.730931,-0.777676,2.14605
HK530,0.69897,0.75,-0.80103,2.19897,0.677668,0.544381,-0.411093,1.76643
HK531,0.69897,0.75,-0.80103,2.19897,0.670148,0.735393,-0.800639,2.14093
HK532,0.69897,0.75,-0.80103,2.19897,0.673443,0.748109,-0.822775,2.16966
HK533,0.69897,0.75,-0.80103,2.19897,0.724909,0.738041,-0.751172,2.20099
HK534,0.69897,0.75,-0.80103,2.19897,0.690533,0.740203,-0.789874,2.17094
HK535,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK536,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK537,0.69897,0.75,-0.80103,2.19897,0.727414,0.748583,-0.769751,2.22458
HK538,0.69897,0.75,-0.80103,2.19897,0.666686,0.732103,-0.797521,2.13089
HK539,0.69897,0.75,-0.80103,2.19897,0.725453,0.744653,-0.763852,2.21476
HK540,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK541,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK542,0.69897,0.75,-0.80103,2.19897,0.760198,0.747604,-0.735009,2.25541
HK543,0.69897,0.75,-0.80103,2.19897,0.70115,0.738716,-0.776283,2.17858
HK544,0.69897,0.75,-0.80103,2.19897,0.624931,0.741586,-0.85824,2.1081
HK545,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK546,0.69897,0.75,-0.80103,2.19897,0.755203,0.742446,-0.72969,2.24009
HK547,0.69897,0.75,-0.80103,2.19897,0.706733,0.747064,-0.787395,2.20086
HK548,0.69897,0.75,-0.80103,2.19897,0.613267,0.74191,-0.870554,2.09709
HK549,0.69897,0.75,-0.80103,2.19897,0.684195,0.74108,-0.797964,2.16635
HK550,0.69897,0.75,-0.80103,2.19897,0.745856,0.747609,-0.749362,2.24107
HK551,0.69897,0.75,-0.80103,2.19897,0.746113,0.747626,-0.749139,2.24136
HK552,0.69897,0.75,-0.80103,2.19897,0.675422,0.747792,-0.820161,2.17101
HK553,0.69897,0.75,-0.80103,2.19897,0.630247,0.745766,-0.861286,2.12178
HK554,0.69897,0.75,-0.80103,2.19897,0.720591,0.74713,-0.773668,2.21485
HK555,0.69897,0.75,-0.80103,2.19897,0.593109,0.747002,-0.900895,2.08711
HK556,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK600,0.69897,0.75,-0.80103,2.19897,0.660779,0.744707,-0.828635,2.15019
HK601,0.69897,0.75,-0.80103,2.19897,0.191469,0.738565,-1.28566,1.6686
HK602,0.69897,0.75,-0.80103,2.19897,0.36864,0.741057,-1.11348,1.85075
HK603,0.69897,0.75,-0.80103,2.19897,0.767582,0.734162,-0.700743,2.23591
HK604,0.69897,0.75,-0.80103,2.19897,0.369031,0.727099,-1.08517,1.82323
HK605,0.69897,0.75,-0.80103,2.19897,-0.0555734,0.720279,-1.49613,1.38498
HK606,0.69897,0.75,-0.80103,2.19897,0.744312,0.736332,-0.728352,2.21697
HK607,0.69897,0.75,-0.80103,2.19897,0.705444,0.728995,-0.752547,2.16343
HK608,0.69897,0.75,-0.80103,2.19897,0.19657,0.725298,-1.25403,1.64717
HK609,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK610,0.69897,0.75,-0.80103,2.19897,0.60145,0.736193,-0.870936,2.07384
HK611,0.69897,0.75,-0.80103,2.19897,0.2977,0.612787,-0.927874,1.52327
HK612,0.69897,0.75,-0.80103,2.19897,0.682178,0.746737,-0.811296,2.17565
HK613,0.69897,0.75,-0.80103,2.19897,0.529529,0.650966,-0.772402,1.83146
HK614,0.69897,0.75,-0.80103,2.19897,0.596017,0.728601,-0.861185,2.05322
HK615,0.69897,0.75,-0.80103,2.19897,0.665324,0.704731,-0.744137,2.07479
HK616,0.69897,0.75,-0.80103,2.19897,0.656473,0.724078,-0.791684,2.10463
HK617,0.69897,0.75,-0.80103,2.19897,0.548474,0.710436,-0.872399,1.96935
HK618,0.69897,0.75,-0.80103,2.19897,0.653851,0.716291,-0.778732,2.08643
HK619,0.69897,0.75,-0.80103,2.19897,0.748668,0.727194,-0.70572,2.20306
HK620,0.69897,0.75,-0.80103,2.19897,0.533272,0.715809,-0.898346,1.96489
HK621,0.69897,0.75,-0.80103,2.19897,0.746423,0.726277,-0.706132,2.19898
HK622,0.69897,0.75,-0.80103,2.19897,0.771128,0.746171,-0.721215,2.26347
HK623,0.69897,0.75,-0.80103,2.19897,0.619382,0.726422,-0.833461,2.07223
HK624,0.69897,0.75,-0.80103,2.19897,0.762899,0.72568,-0.688461,2.21426
HK625,0.69897,0.75,-0.80103,2.19897,0.753976,0.743448,-0.732921,2.24087
HK626,0.69897,0.75,-0.80103,2.19897,0.684859,0.730398,-0.775938,2.14566
HK627,0.69897,0.75,-0.80103,2.19897,0.522781,0.719115,-0.915449,1.96101
HK628,0.69897,0.75,-0.80103,2.19897,0.592725,0.732368,-0.872011,2.05746
HK629,0.69897,0.75,-0.80103,2.19897,0.742876,0.748096,-0.753315,2.23907
HK630,0.69897,0.75,-0.80103,2.19897,0.612097,0.731342,-0.850588,2.07478
HK631,0.69897,0.75,-0.80103,2.19897,0.70521,0.747845,-0.79048,2.2009
HK632,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK633,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK634,0.69897,0.75,-0.80103,2.19897,0.709537,0.747711,-0.785886,2.20496
HK635,0.69897,0.75,-0.80103,2.19897,0.698222,0.735069,-0.771917,2.16836
